application_id,months_ago,utilization_pct
111386,4,36.22
111386,3,31.64
111386,2,33.33
111386,1,33.48
110404,12,43.08
110404,11,50.03
110404,10,25.69
110404,9,31.59
110404,8,35.88
110404,7,25.7
110404,6,43.96
110404,5,39.2
110404,4,44.11
110404,3,51.13
110404,2,51.33
110404,1,29.97
112323,12,29.91
112323,11,26.05
112323,10,32.38
112323,9,44.32
112323,8,34.85
112323,7,41.27
112323,6,39.35
112323,5,29.18
112323,4,18.43
112323,3,9.09
112323,2,15.09
112323,1,16.06
100619,12,25.84
100619,11,40.9
100619,10,23.85
100619,9,23.95
100619,8,46.66
100619,7,52.39
100619,6,30.43
100619,5,40.26
100619,4,30.02
100619,3,52.14
100619,2,49.01
100619,1,46.64
102146,12,53.54
102146,11,39.81
102146,10,58.09
102146,9,44.01
102146,8,26.71
102146,7,33.33
102146,6,24.97
102146,5,52.77
102146,4,40.01
102146,3,44.42
102146,2,47.63
102146,1,32.41
107012,12,15.96
107012,11,19.6
107012,10,19.8
107012,9,27.33
107012,8,4.73
107012,7,26.7
107012,6,30.56
107012,5,12.42
107012,4,5.65
107012,3,1.45
107012,2,21.3
107012,1,8.61
107869,12,23.23
107869,11,28.88
107869,10,13.88
107869,9,10.53
107869,8,16.37
107869,7,17.57
107869,6,12.81
107869,5,33.9
107869,4,0.0
107869,3,17.64
107869,2,0.0
107869,1,13.27
109997,12,54.71
109997,11,55.79
109997,10,49.76
109997,9,44.56
109997,8,49.29
109997,7,54.3
109997,6,31.55
109997,5,47.38
109997,4,50.76
109997,3,54.94
109997,2,67.67
109997,1,54.41
114059,12,28.31
114059,11,34.78
114059,10,31.6
114059,9,30.54
114059,8,38.89
114059,7,50.61
114059,6,45.58
114059,5,41.55
114059,4,46.25
114059,3,30.59
114059,2,26.05
114059,1,41.6
111603,12,35.5
111603,11,10.44
111603,10,19.83
111603,9,28.25
111603,8,27.65
111603,7,17.74
111603,6,26.97
111603,5,12.91
111603,4,32.27
111603,3,23.33
111603,2,34.53
111603,1,30.87
108189,12,55.57
108189,11,56.72
108189,10,49.92
108189,9,39.09
108189,8,34.68
108189,7,32.21
108189,6,59.09
108189,5,35.7
108189,4,37.32
108189,3,45.27
108189,2,47.6
108189,1,42.47
104550,12,45.82
104550,11,32.7
104550,10,28.17
104550,9,42.91
104550,8,36.82
104550,7,38.44
104550,6,27.41
104550,5,46.3
104550,4,34.84
104550,3,42.35
104550,2,38.49
104550,1,20.08
107563,12,30.9
107563,11,18.86
107563,10,49.0
107563,9,39.92
107563,8,32.48
107563,7,22.49
107563,6,20.69
107563,5,28.03
107563,4,30.94
107563,3,9.74
107563,2,37.9
107563,1,30.64
108666,12,30.96
108666,11,38.7
108666,10,18.0
108666,9,24.8
108666,8,32.05
108666,7,31.39
108666,6,32.06
108666,5,13.01
108666,4,43.07
108666,3,16.54
108666,2,2.41
108666,1,13.47
108926,12,68.17
108926,11,33.16
108926,10,42.22
108926,9,34.05
108926,8,47.32
108926,7,34.93
108926,6,24.44
108926,5,36.72
108926,4,49.01
108926,3,43.68
108926,2,44.43
108926,1,25.02
109869,12,37.3
109869,11,32.62
109869,10,29.81
109869,9,33.04
109869,8,14.78
109869,7,39.66
109869,6,37.1
109869,5,32.27
109869,4,32.08
109869,3,34.96
109869,2,34.41
109869,1,16.9
111734,12,41.32
111734,11,30.0
111734,10,29.89
111734,9,24.86
111734,8,33.82
111734,7,19.81
111734,6,23.35
111734,5,41.25
111734,4,15.48
111734,3,28.33
111734,2,15.77
111734,1,12.59
110823,12,35.42
110823,11,63.12
110823,10,68.71
110823,9,38.38
110823,8,62.24
110823,7,61.82
110823,6,74.67
110823,5,39.75
110823,4,44.46
110823,3,42.92
110823,2,48.9
110823,1,35.55
102713,12,39.35
102713,11,61.3
102713,10,69.73
102713,9,53.11
102713,8,58.42
102713,7,48.55
102713,6,49.65
102713,5,61.05
102713,4,55.08
102713,3,48.52
102713,2,42.63
102713,1,65.42
106865,12,31.0
106865,11,23.73
106865,10,0.0
106865,9,9.41
106865,8,10.72
106865,7,0.0
106865,6,0.0
106865,5,0.0
106865,4,11.94
106865,3,11.41
106865,2,4.36
106865,1,23.81
110414,12,52.73
110414,11,51.94
110414,10,55.34
110414,9,62.19
110414,8,65.89
110414,7,44.3
110414,6,52.81
110414,5,45.43
110414,4,53.36
110414,3,74.26
110414,2,61.01
110414,1,59.85
114753,12,48.99
114753,11,37.24
114753,10,28.91
114753,9,34.55
114753,8,40.27
114753,7,35.6
114753,6,36.0
114753,5,23.37
114753,4,56.24
114753,3,46.24
114753,2,33.91
114753,1,48.05
111431,12,13.06
111431,11,18.2
111431,10,15.95
111431,9,20.41
111431,8,10.18
111431,7,24.73
111431,6,18.17
111431,5,18.9
111431,4,0.0
111431,3,17.21
111431,2,0.0
111431,1,8.85
104515,12,9.24
104515,11,0.0
104515,10,11.74
104515,9,8.69
104515,8,25.6
104515,7,15.53
104515,6,21.13
104515,5,8.64
104515,4,6.96
104515,3,2.08
104515,2,6.66
104515,1,23.48
109820,12,48.14
109820,11,29.32
109820,10,63.41
109820,9,48.95
109820,8,62.43
109820,7,43.73
109820,6,63.36
109820,5,40.41
109820,4,51.32
109820,3,35.13
109820,2,61.84
109820,1,40.06
106671,12,16.14
106671,11,35.42
106671,10,32.32
106671,9,37.32
106671,8,29.9
106671,7,34.12
106671,6,28.39
106671,5,41.59
106671,4,38.43
106671,3,47.89
106671,2,23.94
106671,1,41.39
103887,12,45.35
103887,11,45.69
103887,10,33.08
103887,9,43.25
103887,8,28.13
103887,7,45.72
103887,6,42.3
103887,5,53.56
103887,4,46.01
103887,3,61.4
103887,2,44.75
103887,1,36.79
103709,12,54.02
103709,11,44.27
103709,10,20.79
103709,9,54.5
103709,8,49.38
103709,7,25.58
103709,6,26.23
103709,5,34.28
103709,4,33.93
103709,3,47.41
103709,2,40.1
103709,1,30.49
113285,12,15.92
113285,11,34.19
113285,10,31.22
113285,9,24.81
113285,8,26.21
113285,7,16.45
113285,6,5.91
113285,5,32.7
113285,4,1.55
113285,3,29.46
113285,2,43.55
113285,1,11.14
100343,12,22.66
100343,11,18.96
100343,10,26.35
100343,9,40.64
100343,8,35.83
100343,7,26.04
100343,6,41.11
100343,5,34.79
100343,4,44.95
100343,3,42.84
100343,2,27.75
100343,1,40.02
114919,12,53.19
114919,11,57.5
114919,10,53.61
114919,9,52.99
114919,8,58.6
114919,7,37.8
114919,6,60.99
114919,5,55.82
114919,4,51.2
114919,3,73.68
114919,2,50.37
114919,1,36.7
105277,12,22.72
105277,11,32.07
105277,10,44.39
105277,9,43.4
105277,8,29.51
105277,7,35.83
105277,6,24.29
105277,5,34.53
105277,4,28.04
105277,3,22.48
105277,2,29.8
105277,1,26.1
104402,12,29.82
104402,11,19.31
104402,10,14.82
104402,9,13.95
104402,8,23.04
104402,7,0.0
104402,6,0.19
104402,5,15.71
104402,4,0.0
104402,3,20.99
104402,2,20.71
104402,1,3.12
113379,12,46.03
113379,11,33.38
113379,10,20.76
113379,9,17.0
113379,8,34.89
113379,7,31.26
113379,6,21.66
113379,5,29.82
113379,4,18.57
113379,3,2.52
113379,2,17.58
113379,1,4.79
113334,12,45.23
113334,11,27.24
113334,10,45.49
113334,9,39.74
113334,8,32.26
113334,7,57.01
113334,6,36.12
113334,5,16.27
113334,4,44.56
113334,3,30.84
113334,2,45.89
113334,1,41.79
106541,12,7.11
106541,11,20.37
106541,10,25.22
106541,9,23.56
106541,8,29.42
106541,7,16.66
106541,6,27.57
106541,5,27.02
106541,4,9.95
106541,3,1.55
106541,2,21.69
106541,1,22.71
113085,12,34.96
113085,11,16.96
113085,10,44.03
113085,9,0.0
113085,8,17.13
113085,7,43.13
113085,6,39.27
113085,5,29.11
113085,4,32.79
113085,3,11.35
113085,2,27.06
113085,1,13.69
101019,12,50.84
101019,11,65.47
101019,10,55.5
101019,9,52.96
101019,8,66.85
101019,7,47.8
101019,6,45.15
101019,5,34.29
101019,4,43.14
101019,3,45.68
101019,2,44.09
101019,1,36.05
113446,12,11.7
113446,11,0.0
113446,10,0.0
113446,9,8.61
113446,8,0.0
113446,7,8.42
113446,6,17.98
113446,5,26.63
113446,4,3.98
113446,3,0.0
113446,2,26.63
113446,1,5.74
108381,12,28.25
108381,11,21.4
108381,10,19.66
108381,9,33.43
108381,8,24.03
108381,7,33.38
108381,6,32.93
108381,5,39.63
108381,4,23.57
108381,3,7.34
108381,2,17.18
108381,1,0.0
102197,12,52.32
102197,11,32.24
102197,10,42.76
102197,9,26.55
102197,8,35.68
102197,7,40.17
102197,6,42.06
102197,5,36.2
102197,4,22.66
102197,3,43.85
102197,2,21.34
102197,1,37.79
107490,12,37.02
107490,11,37.82
107490,10,56.83
107490,9,63.03
107490,8,50.16
107490,7,56.07
107490,6,42.13
107490,5,62.37
107490,4,29.99
107490,3,35.84
107490,2,39.02
107490,1,22.66
113324,12,39.72
113324,11,23.55
113324,10,21.52
113324,9,14.72
113324,8,14.36
113324,7,12.04
113324,6,5.36
113324,5,6.08
113324,4,23.74
113324,3,23.2
113324,2,3.15
113324,1,27.88
103196,12,12.02
103196,11,1.8
103196,10,12.42
103196,9,10.23
103196,8,38.43
103196,7,9.45
103196,6,10.87
103196,5,27.33
103196,4,32.61
103196,3,11.15
103196,2,8.79
103196,1,13.01
113387,12,34.25
113387,11,39.25
113387,10,28.46
113387,9,46.36
113387,8,36.92
113387,7,34.0
113387,6,39.22
113387,5,46.91
113387,4,18.91
113387,3,26.02
113387,2,1.03
113387,1,14.38
103543,12,15.33
103543,11,29.2
103543,10,18.18
103543,9,19.79
103543,8,29.98
103543,7,10.55
103543,6,10.64
103543,5,0.87
103543,4,9.78
103543,3,0.0
103543,2,7.71
103543,1,0.44
111328,12,44.92
111328,11,37.88
111328,10,48.81
111328,9,47.13
111328,8,45.72
111328,7,49.14
111328,6,57.25
111328,5,41.52
111328,4,46.53
111328,3,42.54
111328,2,67.07
111328,1,41.46
110982,12,38.96
110982,11,35.34
110982,10,23.84
110982,9,20.14
110982,8,26.32
110982,7,43.19
110982,6,29.13
110982,5,28.22
110982,4,16.25
110982,3,28.46
110982,2,41.1
110982,1,52.71
110357,12,37.41
110357,11,46.3
110357,10,56.06
110357,9,38.89
110357,8,48.22
110357,7,51.58
110357,6,60.48
110357,5,43.36
110357,4,59.71
110357,3,67.73
110357,2,47.38
110357,1,35.32
107398,12,55.09
107398,11,55.46
107398,10,50.92
107398,9,44.89
107398,8,56.87
107398,7,45.88
107398,6,50.39
107398,5,46.53
107398,4,49.86
107398,3,56.03
107398,2,55.18
107398,1,55.61
112328,12,43.73
112328,11,22.53
112328,10,26.8
112328,9,18.8
112328,8,34.0
112328,7,34.0
112328,6,28.27
112328,5,15.01
112328,4,19.33
112328,3,17.06
112328,2,23.07
112328,1,27.53
109736,12,68.07
109736,11,48.92
109736,10,67.55
109736,9,55.72
109736,8,68.79
109736,7,43.96
109736,6,45.86
109736,5,56.48
109736,4,63.27
109736,3,55.45
109736,2,50.93
109736,1,62.73
100935,12,63.55
100935,11,57.87
100935,10,54.74
100935,9,54.71
100935,8,51.8
100935,7,51.64
100935,6,55.96
100935,5,49.31
100935,4,46.66
100935,3,34.95
100935,2,59.1
100935,1,58.94
103521,12,32.51
103521,11,51.5
103521,10,41.84
103521,9,40.26
103521,8,35.67
103521,7,40.36
103521,6,43.3
103521,5,46.21
103521,4,51.17
103521,3,48.61
103521,2,44.41
103521,1,25.57
113101,12,32.34
113101,11,33.37
113101,10,45.71
113101,9,33.74
113101,8,37.29
113101,7,37.65
113101,6,13.71
113101,5,40.8
113101,4,30.78
113101,3,25.41
113101,2,44.74
113101,1,44.07
105803,12,37.35
105803,11,50.78
105803,10,20.85
105803,9,15.52
105803,8,29.25
105803,7,35.95
105803,6,14.77
105803,5,44.51
105803,4,26.78
105803,3,26.68
105803,2,29.53
105803,1,18.48
107160,12,60.71
107160,11,71.06
107160,10,44.23
107160,9,72.32
107160,8,59.91
107160,7,48.48
107160,6,52.05
107160,5,56.56
107160,4,55.86
107160,3,56.14
107160,2,36.52
107160,1,48.62
112196,12,49.08
112196,11,44.65
112196,10,33.3
112196,9,45.57
112196,8,49.68
112196,7,34.48
112196,6,38.85
112196,5,45.65
112196,4,33.65
112196,3,30.6
112196,2,59.46
112196,1,43.51
107346,12,35.87
107346,11,35.83
107346,10,16.12
107346,9,22.41
107346,8,34.86
107346,7,12.1
107346,6,23.96
107346,5,33.9
107346,4,20.59
107346,3,21.2
107346,2,34.73
107346,1,32.04
109330,12,26.34
109330,11,27.97
109330,10,37.0
109330,9,25.38
109330,8,16.4
109330,7,34.7
109330,6,23.33
109330,5,0.04
109330,4,16.4
109330,3,29.73
109330,2,30.03
109330,1,40.38
113853,12,50.25
113853,11,35.19
113853,10,57.4
113853,9,15.73
113853,8,32.28
113853,7,60.66
113853,6,44.77
113853,5,40.32
113853,4,68.03
113853,3,52.33
113853,2,49.05
113853,1,53.1
114480,12,24.78
114480,11,50.05
114480,10,37.5
114480,9,39.21
114480,8,46.3
114480,7,36.89
114480,6,33.76
114480,5,40.56
114480,4,44.94
114480,3,63.38
114480,2,28.24
114480,1,37.19
113792,12,27.46
113792,11,24.27
113792,10,29.65
113792,9,25.29
113792,8,9.82
113792,7,22.86
113792,6,26.55
113792,5,20.32
113792,4,21.01
113792,3,17.79
113792,2,32.11
113792,1,23.22
106628,12,22.17
106628,11,0.55
106628,10,2.06
106628,9,22.18
106628,8,8.2
106628,7,12.07
106628,6,28.24
106628,5,20.11
106628,4,13.13
106628,3,0.0
106628,2,5.57
106628,1,24.0
110400,12,72.83
110400,11,58.42
110400,10,32.38
110400,9,65.6
110400,8,49.82
110400,7,40.29
110400,6,53.03
110400,5,63.66
110400,4,49.8
110400,3,61.11
110400,2,64.03
110400,1,47.63
112189,12,63.6
112189,11,64.86
112189,10,54.7
112189,9,56.66
112189,8,38.35
112189,7,47.66
112189,6,50.05
112189,5,70.61
112189,4,62.58
112189,3,50.11
112189,2,51.15
112189,1,46.64
101305,12,17.87
101305,11,15.3
101305,10,13.17
101305,9,11.17
101305,8,14.66
101305,7,23.56
101305,6,25.77
101305,5,0.0
101305,4,10.47
101305,3,7.78
101305,2,9.8
101305,1,15.29
103299,12,38.75
103299,11,41.84
103299,10,25.86
103299,9,42.49
103299,8,27.64
103299,7,27.21
103299,6,19.13
103299,5,31.5
103299,4,12.24
103299,3,27.0
103299,2,23.69
103299,1,22.5
105444,12,29.83
105444,11,39.09
105444,10,16.04
105444,9,15.7
105444,8,24.11
105444,7,31.97
105444,6,25.16
105444,5,23.97
105444,4,22.25
105444,3,0.0
105444,2,0.0
105444,1,17.05
113925,12,20.59
113925,11,13.07
113925,10,11.17
113925,9,43.17
113925,8,22.93
113925,7,11.04
113925,6,19.75
113925,5,43.9
113925,4,23.79
113925,3,8.22
113925,2,42.32
113925,1,28.86
104644,12,43.56
104644,11,50.11
104644,10,49.4
104644,9,42.37
104644,8,38.41
104644,7,50.74
104644,6,49.38
104644,5,34.03
104644,4,43.86
104644,3,38.9
104644,2,23.18
104644,1,18.77
100932,12,22.9
100932,11,8.76
100932,10,15.05
100932,9,38.44
100932,8,9.2
100932,7,11.9
100932,6,29.85
100932,5,18.7
100932,4,28.87
100932,3,19.27
100932,2,27.15
100932,1,33.67
102932,12,26.98
102932,11,38.02
102932,10,40.26
102932,9,53.49
102932,8,48.95
102932,7,51.97
102932,6,52.47
102932,5,47.69
102932,4,43.05
102932,3,38.38
102932,2,34.7
102932,1,42.96
113433,12,36.3
113433,11,33.63
113433,10,20.13
113433,9,13.64
113433,8,24.34
113433,7,40.7
113433,6,31.08
113433,5,37.13
113433,4,31.58
113433,3,32.02
113433,2,31.42
113433,1,15.92
105500,12,26.17
105500,11,14.68
105500,10,18.56
105500,9,24.04
105500,8,19.6
105500,7,45.8
105500,6,22.63
105500,5,22.45
105500,4,23.77
105500,3,25.39
105500,2,13.64
105500,1,16.99
106132,12,40.78
106132,11,18.84
106132,10,42.66
106132,9,42.31
106132,8,34.59
106132,7,30.33
106132,6,47.29
106132,5,32.36
106132,4,47.41
106132,3,25.35
106132,2,33.57
106132,1,53.11
110638,12,59.13
110638,11,69.09
110638,10,50.56
110638,9,51.6
110638,8,48.99
110638,7,71.37
110638,6,53.49
110638,5,52.08
110638,4,54.9
110638,3,49.08
110638,2,51.36
110638,1,55.15
108856,12,44.66
108856,11,36.44
108856,10,40.93
108856,9,27.51
108856,8,27.59
108856,7,31.88
108856,6,36.81
108856,5,35.38
108856,4,30.13
108856,3,44.61
108856,2,31.0
108856,1,28.32
102911,12,28.67
102911,11,39.09
102911,10,21.36
102911,9,27.66
102911,8,41.49
102911,7,27.22
102911,6,23.0
102911,5,23.91
102911,4,37.97
102911,3,34.67
102911,2,7.78
102911,1,29.64
105260,12,55.61
105260,11,57.56
105260,10,47.38
105260,9,37.15
105260,8,28.74
105260,7,36.21
105260,6,65.52
105260,5,63.01
105260,4,61.25
105260,3,29.83
105260,2,56.21
105260,1,52.99
100944,12,60.2
100944,11,76.18
100944,10,71.28
100944,9,45.28
100944,8,57.84
100944,7,60.83
100944,6,58.03
100944,5,73.65
100944,4,49.27
100944,3,61.57
100944,2,49.44
100944,1,62.88
114591,12,74.31
114591,11,43.3
114591,10,63.93
114591,9,65.53
114591,8,34.85
114591,7,56.62
114591,6,67.92
114591,5,45.53
114591,4,53.37
114591,3,42.54
114591,2,48.69
114591,1,58.47
107228,12,57.26
107228,11,59.04
107228,10,59.3
107228,9,67.08
107228,8,74.58
107228,7,62.61
107228,6,63.71
107228,5,71.77
107228,4,49.49
107228,3,58.59
107228,2,59.84
107228,1,57.97
108812,12,31.41
108812,11,57.38
108812,10,43.08
108812,9,54.75
108812,8,44.18
108812,7,44.63
108812,6,65.66
108812,5,59.03
108812,4,50.01
108812,3,30.27
108812,2,55.04
108812,1,57.79
107816,12,16.97
107816,11,15.57
107816,10,18.12
107816,9,37.64
107816,8,2.68
107816,7,13.06
107816,6,25.02
107816,5,22.28
107816,4,3.69
107816,3,6.51
107816,2,14.23
107816,1,20.18
110905,12,37.33
110905,11,6.72
110905,10,19.62
110905,9,25.21
110905,8,17.85
110905,7,32.94
110905,6,22.95
110905,5,0.0
110905,4,12.94
110905,3,20.25
110905,2,6.81
110905,1,23.38
105572,12,20.34
105572,11,26.93
105572,10,14.67
105572,9,0.0
105572,8,17.54
105572,7,3.37
105572,6,10.68
105572,5,28.98
105572,4,29.57
105572,3,37.01
105572,2,26.7
105572,1,27.91
114823,12,49.9
114823,11,17.44
114823,10,21.24
114823,9,34.67
114823,8,26.24
114823,7,27.91
114823,6,44.27
114823,5,31.22
114823,4,24.57
114823,3,32.66
114823,2,34.46
114823,1,38.7
113583,12,19.1
113583,11,27.73
113583,10,37.21
113583,9,18.75
113583,8,24.2
113583,7,34.48
113583,6,15.66
113583,5,1.66
113583,4,25.74
113583,3,27.16
113583,2,17.52
113583,1,14.11
105717,12,33.7
105717,11,10.8
105717,10,26.7
105717,9,29.95
105717,8,18.26
105717,7,36.41
105717,6,32.84
105717,5,35.08
105717,4,22.2
105717,3,25.03
105717,2,17.31
105717,1,18.6
111257,12,16.75
111257,11,25.49
111257,10,22.42
111257,9,40.65
111257,8,22.14
111257,7,0.0
111257,6,35.1
111257,5,12.04
111257,4,2.78
111257,3,24.02
111257,2,25.1
111257,1,32.69
110181,12,25.04
110181,11,25.04
110181,10,37.15
110181,9,23.89
110181,8,38.95
110181,7,36.06
110181,6,25.72
110181,5,16.55
110181,4,13.26
110181,3,34.89
110181,2,25.26
110181,1,21.81
108654,12,44.97
108654,11,50.39
108654,10,50.45
108654,9,55.92
108654,8,56.17
108654,7,53.01
108654,6,31.13
108654,5,44.5
108654,4,55.8
108654,3,52.8
108654,2,60.17
108654,1,28.72
112187,12,17.22
112187,11,18.62
112187,10,20.57
112187,9,26.52
112187,8,8.54
112187,7,11.54
112187,6,6.51
112187,5,6.18
112187,4,28.81
112187,3,8.58
112187,2,7.11
112187,1,13.35
101472,12,6.42
101472,11,19.56
101472,10,0.93
101472,9,3.69
101472,8,11.91
101472,7,11.48
101472,6,18.52
101472,5,28.63
101472,4,4.22
101472,3,11.67
101472,2,16.34
101472,1,12.57
109720,12,17.37
109720,11,30.35
109720,10,25.44
109720,9,31.33
109720,8,15.94
109720,7,44.41
109720,6,31.93
109720,5,26.55
109720,4,24.45
109720,3,19.29
109720,2,25.63
109720,1,23.41
111509,12,53.6
111509,11,45.38
111509,10,50.74
111509,9,63.31
111509,8,49.98
111509,7,49.58
111509,6,52.83
111509,5,45.98
111509,4,51.3
111509,3,41.79
111509,2,41.81
111509,1,46.46
112346,12,37.56
112346,11,53.03
112346,10,38.04
112346,9,29.25
112346,8,35.5
112346,7,33.11
112346,6,34.1
112346,5,50.53
112346,4,28.69
112346,3,43.9
112346,2,35.26
112346,1,39.04
114090,12,17.56
114090,11,19.39
114090,10,10.0
114090,9,12.52
114090,8,18.34
114090,7,6.01
114090,6,0.63
114090,5,36.48
114090,4,3.02
114090,3,23.04
114090,2,27.23
114090,1,31.26
108496,12,44.2
108496,11,39.05
108496,10,52.15
108496,9,56.64
108496,8,53.88
108496,7,52.01
108496,6,50.05
108496,5,52.07
108496,4,54.83
108496,3,53.89
108496,2,38.25
108496,1,37.35
101494,12,30.29
101494,11,23.37
101494,10,22.5
101494,9,24.37
101494,8,35.46
101494,7,20.92
101494,6,20.36
101494,5,22.15
101494,4,25.68
101494,3,33.82
101494,2,19.81
101494,1,43.13
112975,12,52.79
112975,11,58.09
112975,10,66.93
112975,9,49.16
112975,8,64.44
112975,7,39.51
112975,6,60.53
112975,5,70.44
112975,4,66.44
112975,3,58.13
112975,2,66.48
112975,1,57.12
106903,12,37.71
106903,11,27.7
106903,10,36.48
106903,9,16.2
106903,8,4.56
106903,7,10.73
106903,6,22.37
106903,5,23.88
106903,4,15.84
106903,3,4.2
106903,2,16.2
106903,1,15.5
112994,12,51.88
112994,11,55.54
112994,10,74.86
112994,9,55.83
112994,8,62.73
112994,7,55.78
112994,6,49.57
112994,5,48.53
112994,4,63.14
112994,3,63.18
112994,2,66.11
112994,1,39.64
100793,12,2.94
100793,11,6.04
100793,10,8.14
100793,9,0.72
100793,8,19.74
100793,7,3.61
100793,6,27.44
100793,5,11.4
100793,4,19.17
100793,3,11.88
100793,2,5.22
100793,1,15.86
102294,12,42.05
102294,11,47.36
102294,10,36.15
102294,9,55.57
102294,8,16.08
102294,7,50.61
102294,6,28.51
102294,5,54.45
102294,4,35.53
102294,3,49.48
102294,2,34.26
102294,1,47.01
100810,12,63.05
100810,11,56.48
100810,10,59.35
100810,9,67.32
